,BAL,BOS,NYY,TB,TOR,CWS,CLE,DET,KC,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WAS,CHI,CIN,MIL,PIT,STL,ARI,COL,LAD,SD,SF
BAL,0.0,358.37917335052236,178.27216438331072,866.0886038934678,333.2198872621919,605.0827796641764,307.59251555070057,397.29675329920167,957.5959729245087,939.4078052719406,1250.5797459931828,2306.436666118429,2445.8295473001303,2333.8591032330037,1227.9288406366766,572.8944519428455,953.8392143394905,178.89880609072978,88.73479894996422,35.13731056217743,608.086410462058,423.3467002928831,645.1741930837785,196.98404796613352,731.7243856936851,2003.8864247323281,1509.950649895562,2318.659441813148,2296.1817368179018,2455.162000224664
BOS,358.37917335052236,0.0,180.11227298573473,1196.9928185137296,429.3632147976962,849.5414446256303,548.5287262951827,611.4388912739846,1244.7314493081851,1122.8015646366564,1602.8523538172342,2584.109705345218,2687.2967408916834,2491.1606645908614,1564.4094895788237,931.2728869588084,1254.2922589099385,179.79289597020352,270.9423918119343,392.3065457543801,849.5572329031247,737.8484661920539,859.0996289672951,480.85358989297,1035.8710463516243,2297.6815149530826,1767.936727991436,2593.7863163424495,2582.1804645455095,2696.0414083659157
NYY,178.27216438331072,180.11227298573473,0.0,1028.0744459447658,340.7356392245881,715.6021890465956,407.0967091769907,483.75807840519485,1095.899772268336,1020.1590429067094,1425.6252126627821,2442.8886750934494,2563.732572347403,2408.278360143678,1394.3301536082126,751.1622189036333,1098.5475360071957,6.533185278020949,91.3291969431732,212.25440796130425,716.9020742821336,573.8808972002989,738.6418468232746,320.5818193210274,878.50475875179,2148.3793555539273,1634.4963052902497,2453.804299420094,2436.948683798411,2572.7761653697335
TB,866.0886038934678,1196.9928185137296,1028.0744459447658,0.0,1109.4006564180352,1009.3558865640651,947.8554807917204,1004.7187608094451,1033.436959612798,1323.7773009544858,782.4535005200505,2125.444203654074,2383.646415377987,2528.6493585301796,927.5534137449849,435.2690420519187,203.44277434409034,1026.0631081722677,939.963816947518,831.610361460057,1017.4750730678142,788.0447443429736,1093.4034708833806,886.8463966265012,865.4446614574848,1789.3229490277947,1521.7864031396493,2146.5287594128827,2082.2147394126528,2394.093620216506
TOR,333.2198872621919,429.3632147976962,340.7356392245881,1109.4006564180352,0.0,437.5396020827826,188.8110994798885,206.05562763046424,844.7615524641278,693.8864764558581,1300.1881583644426,2165.947798856404,2259.1061961408013,2072.0827114702033,1216.900291111527,726.0301734269597,1232.2800093644116,347.1004394238249,337.62925529601364,351.6296670850573,435.9586438093494,411.04955865725003,434.32313818841016,222.7438505623406,660.7732319159022,1889.6067832099511,1345.5704924103866,2174.504107332593,2168.104387129384,2267.771886227046
CWS,605.0827796641764,849.5414446256303,715.6021890465956,1009.3558865640651,437.5396020827826,0.0,308.6519747878629,238.31648072283278,408.5254490274236,357.69384926890774,937.5994989318915,1734.6126583500786,1848.4132858675705,1738.6601499287385,813.1620193155924,574.2051156432412,1184.5325558256966,720.6450183519731,665.8105368933694,596.4032494262017,8.2430217642379,250.37862651172662,84.49053133000473,409.08275870989945,259.3798471039286,1452.8629335226728,919.9575134945427,1744.2479717955507,1733.8315890527815,1857.5103923510442
CLE,307.59251555070057,548.5287262951827,407.0967091769907,947.8554807917204,188.8110994798885,308.6519747878629,0.0,91.2474122839964,696.2036002383239,631.9196775420345,1113.9332456704901,2038.4306344495133,2157.053548407378,2026.456488083616,1039.7733574807676,546.1755580177745,1086.5359941496606,412.07508348344146,359.3808518815904,306.5651497588954,310.2014355499366,222.68559588440036,339.08353078210774,113.81245195575157,492.39505871275486,1749.230917999896,1227.5500985921676,2048.814136743994,2034.7122763511165,2166.1421617721903
DET,397.29675329920167,611.4388912739846,483.75807840519485,1004.7187608094451,206.05562763046424,238.31648072283278,91.2474122839964,0.0,641.1825034927837,543.7480910758502,1105.363368503076,1972.8695526970123,2081.3867367644557,1938.095469948344,1012.9873530279948,587.835438115987,1152.7861703249598,489.1722455834055,444.0437228198009,397.4952513255099,238.13835707491847,236.4076137974057,255.11813602069307,205.04965596064056,455.21696756493407,1690.2493443363787,1156.9184872555447,1982.4013886566843,1972.06738504308,2090.340594444526
KC,957.5959729245087,1244.7314493081851,1095.899772268336,1033.436959612798,844.7615524641278,408.5254490274236,696.2036002383239,641.1825034927837,0.0,413.93230174135846,642.5946639990613,1349.085276259968,1501.4234753755275,1512.0832938372405,458.1685405409925,660.8748318668902,1234.2669688635497,1100.163344165237,1032.2529291152682,939.6568890304974,411.1388597461145,536.0429022892191,436.7817295770288,775.9468722567016,233.17428406775633,1053.288316104744,564.455541997627,1361.0937004727625,1341.1371240174851,1511.1349454820115
MIN,939.4078052719406,1122.8015646366564,1020.1590429067094,1323.7773009544858,693.8864764558581,357.69384926890774,631.9196775420345,543.7480910758502,413.93230174135846,0.0,1056.0591541819579,1517.2802666111925,1574.3646119035332,1394.5516177582251,867.9672294440232,897.4235754161757,1510.8669928907227,1025.9874891666193,987.3350808655646,936.2693631807593,351.695668635355,606.4660463465475,296.7937813177144,743.3757199891373,466.8073407711449,1279.065745469057,698.7303128098417,1522.1141971963336,1532.2615208130665,1582.6529680733652
